Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Department,Region,Transaction Amount (USD),Risk Level,Alert Status,Transaction Date,Reviewed By,Customer Country,Remarks
Compliance Oversight,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Security,Compliance Data,Screen Customer Transactions,3fd8f136-60c8-4d15-91d5-29accf155e11,202180,Operations,Americas,64921.17,High,Escalated,2025-06-16,Tracy Thomas,Rwanda,Prevent color paper computer know way reveal.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,AML Data,Flag Suspicious Transactions,e76fc2f2-fc58-4eb5-bf70-8ca77a95f888,283757,Risk,APAC,7970.22,High,Escalated,2025-07-17,Cynthia Lee,United States Virgin Islands,Religious sister market attention.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Flag Suspicious Transactions,b51ac6e9-9856-40c9-a842-fdca084e7c5e,409226,Fraud Detection,APAC,27170.27,Critical,Cleared,2025-01-13,Rachel Finley DDS,Qatar,Morning start mention others information necessary wear.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,AML Data,Flag Suspicious Transactions,b2b37110-e9f0-4583-8637-750931536330,286979,Fraud Detection,APAC,90394.62,Low,Confirmed Suspicious,2025-01-12,Austin Maldonado,Sri Lanka,Mrs seven term then teacher.
Financial Crime Prevention,AML Operations,Customer Risk Review,Screen Customer Transactions,Risk Prevention,Compliance Data,Review Alerts,3f7f7644-e150-49fb-8e98-4699d8eb82ec,816058,Risk,EMEA,95490.74,Critical,Escalated,2025-01-24,Melissa Clark,Liberia,Continue clear build fall also thing everybody.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Compliance Data,Review Alerts,7cdb0f13-9125-4dc8-8953-aafb274f97d4,133763,Risk,EMEA,10202.69,Critical,Pending Review,2025-09-16,Hannah Silva,Dominican Republic,Much I movie they class.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,AML Data,Screen Customer Transactions,dd6967cb-5177-45f0-a042-3b79e85cb220,774089,Fraud Detection,APAC,46977.56,High,Pending Review,2025-09-17,Kaitlyn Ruiz,Canada,Change bit issue guess.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Screen Customer Transactions,Compliance,Transaction Data,Review Alerts,8fc9c784-8637-44de-b4d7-fe71275cd8bc,571710,Risk,APAC,24132.97,Critical,Cleared,2025-03-02,Leslie Miller,Algeria,Responsibility free see risk ahead coach control leave.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Compliance Data,Review Alerts,d42511a6-5e8b-40b0-a13b-f5c0af16e7c0,167600,Fraud Detection,APAC,69957.07,Low,Cleared,2025-07-28,Jay Campbell,Kiribati,Air forget goal task determine while.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,e42edbfd-16ec-48c4-94e9-33464ad20c12,918743,Compliance,EMEA,35491.3,High,Pending Review,2025-02-11,Heather Johnson,British Indian Ocean Territory (Chagos Archipelago),If itself morning court suddenly strong.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Review Alerts,f9cbbc90-ec7d-4e2c-a456-856b35619ae3,623887,Compliance,APAC,50272.21,Low,Cleared,2025-07-01,Melinda Lynch,United States Minor Outlying Islands,Add those then effort once deal event.
Compliance Oversight,AML Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Transaction Data,Screen Customer Transactions,dbbf8452-6421-4a93-9b66-7c500b611545,682544,Compliance,Americas,17303.0,Low,Pending Review,2025-06-21,Jennifer Andrews,United Arab Emirates,See human air let.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,AML Data,Screen Customer Transactions,d809cbc6-d330-4c94-bb94-61d917d290bc,179256,Fraud Detection,APAC,46074.76,Critical,Escalated,2025-03-25,Patricia Johnson,United Arab Emirates,Including system thought away future against wear.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Compliance Data,Review Alerts,e5e97d47-d1a7-42a8-923d-0bc9d62a857c,679199,Risk,Americas,30215.53,Critical,Cleared,2025-02-12,Cathy Smith,Egypt,Join firm specific girl as they.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Screen Customer Transactions,9395c395-3474-4013-bc1b-b191734c85af,539671,Fraud Detection,EMEA,7464.03,Medium,Cleared,2025-09-23,Elizabeth Cervantes,Sweden,Military I year newspaper everyone six write.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Compliance Data,Screen Customer Transactions,abed6ce8-0192-4b85-8d74-66d96f5d14db,389919,Compliance,EMEA,53658.3,Medium,Pending Review,2025-07-22,Mrs. Shannon Reed,Romania,Opportunity collection general wish its.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,AML Data,Screen Customer Transactions,51d58373-327d-4d92-bf04-2810bce3f7bd,957501,Fraud Detection,APAC,45697.66,Medium,Pending Review,2025-07-19,Felicia York,Belgium,Feel million area something person PM heavy.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Compliance Data,Review Alerts,8ee6df1a-45d8-4c1e-a332-0c2d31a54f98,576532,Risk,APAC,20974.31,Low,Escalated,2025-07-04,Zachary Vaughan,French Polynesia,Age relate else audience or.
Risk Management,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,25be10ec-210b-4e96-9031-ab774352afb4,850248,Fraud Detection,APAC,78238.7,High,Confirmed Suspicious,2025-06-28,Timothy Warren,Cambodia,Health future large space because stage.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,Compliance Data,Flag Suspicious Transactions,c86736bd-51c8-48c4-a60d-771eeb650c84,677776,Fraud Detection,Americas,40244.15,High,Pending Review,2025-09-09,Amanda Thomas,Japan,Pattern term no past maintain.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Transaction Data,Review Alerts,57540691-3512-4a45-82f7-419f88a6b778,427342,Compliance,APAC,96482.32,High,Escalated,2025-04-13,Scott Carey,Oman,Today difficult trouble anyone true budget character.
Compliance Oversight,Risk and Compliance Operations,Customer Risk Review,Screen Customer Transactions,Compliance,Transaction Data,Flag Suspicious Transactions,b5508c0e-464c-4d1a-8a5f-bfd6bce7a0c0,811942,Risk,Americas,18122.85,Low,Cleared,2025-08-22,Mrs. Vicki Marshall,Indonesia,By southern whether see its.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,882d6e22-c3cc-4a97-ad41-192c2f4d1e7f,911951,Operations,APAC,57282.24,High,Cleared,2025-08-16,Roger Lin,Congo,Themselves particularly tend accept method month front.
