Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Account Type,Region,AML Risk Score,Status,Screened By,Transaction Date
Revolutionize Clicks-And-Mortar Action-Items,Extended 3rdgeneration system engine,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e8048cd8-ff61-49aa-96e1-aed2bf59ab3f,4768,72640.65,Online,Corporate,APAC,14.75,Pending Investigation,Steven Fisher,2025-03-30
Maximize Frictionless Partnerships,Monitored systemic artificial intelligence,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8e08c4be-e8df-4629-8473-74be5694285f,5226,25142.13,Online,Corporate,APAC,48.45,Pending Investigation,Wanda Alvarez,2025-06-15
Deliver Back-End Users,Front-line zero-defect portal,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8f400981-8080-4cc0-b0e8-84c578a271af,8003,36799.71,Online,Savings,Americas,15.65,Cleared,Thomas Pineda,2025-10-07
Incubate Synergistic Interfaces,Configurable non-volatile pricing structure,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,d839d2cf-b0be-4120-84a7-7c71867512ab,2720,58040.45,ATM,Current,APAC,58.0,Pending Investigation,David Robinson,2025-08-09
Seize Transparent Technologies,Reduced neutral architecture,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,672c429c-9522-4f55-968b-072f4939fa9a,6781,86530.99,ATM,Corporate,APAC,44.32,Reviewed,Brent Smith,2025-05-22
Embrace Cross-Platform E-Business,Business-focused 24hour database,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,86695e5c-1773-4568-a405-0f430d348a8d,7729,7006.06,POS,Corporate,APAC,18.99,Reviewed,Mrs. Robyn Martinez,2025-02-10
Transition Visionary Markets,Down-sized needs-based middleware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,69ea0c28-99b7-4924-b9ba-6aa904a35430,9044,67681.2,ATM,Current,EMEA,54.23,Reviewed,Mark Gonzalez,2025-04-10
Harness Value-Added Niches,Mandatory intermediate emulation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,49183e5f-de77-405a-ac61-062a8fb868d7,9621,62239.9,ATM,Corporate,Americas,5.69,Reviewed,Timothy Cohen,2025-10-06
Disintermediate Efficient Roi,Persevering system-worthy workforce,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,057c397a-80a3-4ac0-b1d5-6ee7cdeef425,6535,22206.64,Online,Corporate,Americas,81.42,Pending Investigation,Victor Goodwin,2025-01-31
Brand Dot-Com Platforms,Function-based intangible emulation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,1f0750aa-feb7-40bc-a26a-2f3047d0154e,7155,30728.54,POS,Current,APAC,45.76,Cleared,Craig Walker,2025-07-13
Revolutionize Holistic Roi,Function-based full-range installation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,0ec6d35a-b164-4090-9d54-79b03267c7f8,7666,53566.99,Wire Transfer,Savings,APAC,55.28,Cleared,Christine Martinez,2025-07-07
Engineer B2B Mindshare,Focused 4thgeneration circuit,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,668b39b5-20a7-4ea4-a9f6-a1b0bcaaf701,2579,24535.11,ATM,Current,Americas,79.73,Reviewed,Kayla Campbell,2025-01-10
Deliver Sticky E-Tailers,Robust human-resource algorithm,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c6cd2f05-bb7d-4eed-98cb-eec696e8d7c5,6752,23336.77,POS,Current,EMEA,30.75,Flagged,Lucas Hanson,2025-10-10
Matrix Compelling Platforms,Pre-emptive zero administration ability,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,5ab9e84e-7b57-47cd-83ea-68132a14790f,5803,87239.72,POS,Current,EMEA,8.43,Flagged,Robert Rodriguez,2025-02-21
Implement Dot-Com Paradigms,Open-source coherent collaboration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b5e220f8-a6f9-4b69-a956-b5bfab84e80f,3683,46304.92,POS,Savings,EMEA,10.28,Reviewed,Lori Gray,2025-09-12
Utilize Web-Enabled Synergies,Multi-layered intangible projection,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,3d50b316-5043-4bb4-8f86-470c739495d3,1849,84941.71,ATM,Current,Americas,61.12,Pending Investigation,Tammy Thomas,2025-03-11
Architect Proactive Partnerships,Exclusive coherent definition,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,f43ea46f-6ad4-4410-9fbd-3a2e4eb945e8,2849,70371.69,POS,Corporate,EMEA,37.46,Flagged,Joseph Hanson,2025-10-04
Facilitate Dynamic Synergies,Face-to-face bi-directional intranet,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,866d49bc-831c-4417-a2ce-a52f9890be80,2076,45647.68,POS,Corporate,Americas,87.55,Cleared,Brian Daniel,2025-09-11
Engage B2C Methodologies,Enterprise-wide dedicated intranet,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a3351f82-f28b-4643-bebd-dcb791ce991b,3435,15184.13,ATM,Corporate,EMEA,97.09,Reviewed,Stephen Jones,2025-04-17
Engage Frictionless Communities,Reduced fault-tolerant strategy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,d0c28696-0340-4a1d-8b57-dca34ae22281,8405,76777.19,Wire Transfer,Current,Americas,55.76,Pending Investigation,Kaitlin Shea,2025-04-28
Expedite Front-End Portals,Re-engineered tangible artificial intelligence,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,6d934b2b-431f-4532-af07-a946d8650349,4403,47970.87,POS,Corporate,APAC,24.7,Pending Investigation,Tammy Miller,2025-09-01
Synergize Distributed Experiences,Total zero-defect policy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,cbfb3366-851f-4075-b49b-d7eb3ff4021d,6877,73087.58,POS,Corporate,APAC,57.29,Reviewed,James Brown,2025-07-04
Synthesize Cutting-Edge Eyeballs,Switchable regional approach,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,bbadba27-bd44-4650-b298-d1fb35812e56,2529,75339.2,Wire Transfer,Savings,APAC,25.02,Cleared,Edward Douglas,2025-03-03
Utilize Ubiquitous Mindshare,Proactive bandwidth-monitored open system,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,458c7626-72a2-4879-a650-68bd877c04ab,3207,70200.33,Wire Transfer,Current,APAC,54.23,Cleared,Antonio Sharp,2025-10-05
Empower B2C Action-Items,Cross-group mobile frame,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,5b7add13-ffc4-4e52-9df9-b362ced73ab6,7054,40954.41,Wire Transfer,Current,APAC,34.81,Flagged,Nicholas Taylor,2025-09-24
Deliver Compelling Metrics,Enterprise-wide empowering protocol,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b0ea919b-b7c0-4d32-a776-b8363ada6be5,6672,17667.05,Online,Current,APAC,4.26,Flagged,Christina Cruz,2025-09-02
Exploit Robust Applications,Down-sized foreground parallelism,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8ab4bd49-f1b1-44c7-8a50-6f3326ee7810,7546,99986.47,ATM,Current,EMEA,86.07,Pending Investigation,Rita Martinez,2025-09-13
Incentivize Efficient Channels,Virtual content-based neural-net,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a9a7fdf7-0508-48da-9107-0f5dae073c39,2233,41066.72,ATM,Corporate,EMEA,94.17,Pending Investigation,Emily Johnson,2025-05-06
Exploit Distributed Mindshare,Synergized coherent hierarchy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ccea47c0-38b3-4978-a853-d5ac8bf8fe1e,6095,81769.54,ATM,Savings,APAC,61.59,Flagged,Stephen Rowe,2025-03-26
Brand Dynamic E-Markets,Total incremental matrices,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,3f3fd9d6-2877-4945-a2a2-5f2493563519,4781,29351.19,POS,Current,APAC,49.58,Reviewed,Andrew Torres,2025-04-09
Reinvent Killer E-Business,Synergistic leadingedge open system,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,7e231e7c-e1cf-4c02-873b-953c9913ab59,4949,43927.64,Wire Transfer,Current,APAC,50.74,Reviewed,Ronald Taylor,2025-08-27
Optimize Open-Source E-Services,Ameliorated optimizing matrices,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,80b21c84-e174-4821-acec-ea15217a2ace,7236,28227.96,POS,Corporate,EMEA,70.6,Reviewed,Natalie Kelly,2025-05-04
Streamline One-To-One Functionalities,Enterprise-wide systematic Graphical User Interface,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,33cb43d0-6efb-4c52-ae6b-727c9d41e926,7373,85534.62,Online,Corporate,APAC,0.06,Pending Investigation,Steven Gutierrez Jr.,2025-01-23
Evolve Enterprise Metrics,Face-to-face executive focus group,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,73fa25a7-9628-4c18-ae9c-aa4727de6623,1553,32301.2,POS,Corporate,EMEA,11.03,Cleared,Ashley Salinas,2025-06-17
Target Virtual Metrics,Horizontal static Local Area Network,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,494c40e1-0835-45f4-b93d-47b9fb49a308,1773,92369.03,ATM,Savings,EMEA,20.05,Flagged,Stephanie Smith,2025-09-20
Envisioneer Transparent Content,Organized empowering flexibility,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,3c20ccf7-993b-447e-840c-0877de4f35a9,9378,99499.66,POS,Corporate,EMEA,70.78,Cleared,Rebecca Keith,2025-05-13
Harness Impactful Synergies,Fully-configurable system-worthy function,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e6a00f55-a8a7-4e35-a6e7-6aee7f502631,2768,32443.23,Wire Transfer,Current,Americas,51.73,Reviewed,Rachel Watson,2025-03-04
Engage Magnetic E-Business,Face-to-face value-added database,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4a75aaa4-a828-48ae-8317-d352e4ce4eb5,1850,91507.9,POS,Current,EMEA,3.99,Reviewed,Debbie Huff,2025-06-24
Iterate B2C Networks,Exclusive radical Graphical User Interface,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e990d6f6-779b-4121-b3b7-76df71c93efb,4803,51844.05,Wire Transfer,Current,EMEA,78.38,Cleared,Anne Waters,2025-08-24
Strategize Customized Action-Items,Organized intermediate hardware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ddff0d5b-ebbb-456b-af40-361bef7d4b70,5958,27598.46,Online,Savings,Americas,14.38,Cleared,David Glenn,2025-07-21
Incubate Dynamic Interfaces,Total tangible implementation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b1186bfa-0fc1-4013-99b2-7524b59105f1,4554,23766.95,Wire Transfer,Current,EMEA,45.01,Reviewed,Stephanie Collins,2025-03-27
