Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Report ID,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Account Type,Region,AML Risk Score,Report Status,Reported By,Report Date
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security Value,Compliance Data,Reports Suspicious Activities,14f68c4f-8c08-47ff-9932-4673beb2a7f0,395322c8-47ba-4988-b274-72834cc740cd,4162,10089.61,POS,Savings,EMEA,61.6,Pending Review,John Neal,2025-09-27
Financial Crime Risk,AML Operations,AML Reporting,Investigate Alerts,Operational Oversight,Audit Data,Investigate Alerts,efd4e87c-a978-4858-a95c-47dd6b2c9d46,cf960dd8-3a0d-4022-9bd4-e724f4a3b10d,2160,66963.61,POS,Savings,APAC,86.94,Investigated,Erica Kline,2025-07-23
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Audit Data,Investigate Alerts,948ae8b1-4729-4f8e-8eb4-fde828b3bc84,9cbe14fc-9d78-42ca-9d20-985219191cb4,2634,90620.57,Wire Transfer,Savings,APAC,70.29,Pending Review,Lisa Jones,2025-05-31
Operational Risk,AML Operations,Fraud Detection,Investigate Alerts,Compliance,Audit Data,Monitor Transactions,c33bd3e2-21ca-4ea5-92d1-43506f3de09a,e295cf1a-9b8f-42d2-bb20-5380177185b1,7084,6446.77,POS,Corporate,APAC,93.52,Investigated,Christina Gaines,2025-05-30
Risk Management,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Compliance Data,Investigate Alerts,0e81105e-a184-48ff-a77c-b68d23ece1d5,f44ebf66-3ba2-47d3-bcc1-45eb1e346b60,2546,26008.0,ATM,Savings,EMEA,27.94,Pending Review,Alexander Swanson,2025-01-01
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Transaction Data,Investigate Alerts,2b19de6f-3897-49b9-a082-9b11b0fc360a,738c3510-6ff2-4f40-84f3-aec4753b382a,6889,13774.39,Wire Transfer,Current,Americas,27.54,Pending Review,Andrew Snow,2025-07-25
Financial Crime Risk,AML Operations,AML Reporting,Investigate Alerts,Security Value,Audit Data,Investigate Alerts,bd89ae06-4219-4701-bfdc-08ef42ed76e3,c187b681-47ad-45e6-ada2-4ae6acb7de58,9716,73003.18,Online,Savings,APAC,94.73,Filed,Jo Cain,2025-04-04
Operational Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Audit Data,Reports Suspicious Activities,d9a58df5-abfd-4e7b-ac73-e8704ef576bc,b4b6d6f6-ee4f-4ed4-be72-fb3927e3db4d,2329,11829.47,POS,Corporate,Americas,55.02,Closed,Teresa Montgomery,2025-06-24
Risk Management,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Security Value,Audit Data,Investigate Alerts,84ad5937-be8b-462e-867e-d8d074eedcf3,970ce5f5-dff5-4562-98fc-38b2381ad462,8154,67546.29,Wire Transfer,Current,APAC,89.9,Investigated,Kevin Williams,2025-06-21
Risk Management,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Operational Oversight,Compliance Data,Investigate Alerts,47f99a68-8b47-4332-bd9a-1025077c5132,490bfce6-834e-4a51-abb8-4df678debf51,3849,34037.0,ATM,Current,APAC,76.47,Pending Review,Lisa Malone,2025-02-04
