Customer_ID,Customer_Name,Credit_Exposure,Risk_Weight,Risk_Weighted_Assets,Risk_Category
CUST00001,Customer_1,973302.63,0.91,885705.39,High
CUST00002,Customer_2,826266.18,0.55,454446.4,Medium
CUST00003,Customer_3,807262.44,0.3,242178.73,Medium
CUST00004,Customer_4,994304.78,0.77,765614.68,Medium
CUST00005,Customer_5,993577.66,0.29,288137.52,High
CUST00006,Customer_6,447288.12,0.42,187861.01,Low
CUST00007,Customer_7,215845.18,0.64,138140.92,High
CUST00008,Customer_8,496013.56,0.65,322408.81,Low
CUST00009,Customer_9,200242.6,0.25,50060.65,High
CUST00010,Customer_10,138421.69,0.35,48447.59,High
CUST00011,Customer_11,549178.02,0.25,137294.51,Low
CUST00012,Customer_12,308144.28,0.82,252678.31,Low
CUST00013,Customer_13,289198.71,0.68,196655.12,Low
CUST00014,Customer_14,565468.43,0.97,548504.38,Low
CUST00015,Customer_15,167165.23,0.72,120358.97,High
CUST00016,Customer_16,142033.14,0.74,105104.52,Medium
CUST00017,Customer_17,410467.42,0.28,114930.88,Medium
CUST00018,Customer_18,590415.53,0.71,419195.03,Medium
CUST00019,Customer_19,701038.84,0.44,308457.09,Low
CUST00020,Customer_20,74103.02,0.65,48166.96,Medium
CUST00021,Customer_21,852631.31,0.59,503052.47,Medium
CUST00022,Customer_22,120757.18,0.7,84530.03,Low
CUST00023,Customer_23,520466.76,0.86,447601.41,Low
CUST00024,Customer_24,902034.07,0.72,649464.53,Medium
CUST00025,Customer_25,981473.21,0.97,952029.01,Medium
CUST00026,Customer_26,970805.43,0.67,650439.64,High
CUST00027,Customer_27,997937.4,0.54,538886.2,Low
CUST00028,Customer_28,371505.26,0.68,252623.58,Medium
CUST00029,Customer_29,172724.28,0.31,53544.53,High
CUST00030,Customer_30,130960.2,0.53,69408.91,High
CUST00031,Customer_31,213901.93,0.27,57753.52,Medium
CUST00032,Customer_32,112873.15,0.72,81268.67,Low
CUST00033,Customer_33,599786.75,0.37,221921.1,High
CUST00034,Customer_34,389856.7,0.57,222218.32,Low
CUST00035,Customer_35,143105.73,0.89,127364.1,Low
CUST00036,Customer_36,224153.33,0.99,221911.8,Low
CUST00037,Customer_37,360035.08,0.71,255624.91,Medium
CUST00038,Customer_38,50803.68,0.26,13208.96,Low
CUST00039,Customer_39,622705.6,0.58,361169.25,Medium
CUST00040,Customer_40,865391.68,1.0,865391.68,High
CUST00041,Customer_41,200270.95,0.64,128173.41,Low
CUST00042,Customer_42,186154.3,0.35,65154.0,Low
CUST00043,Customer_43,946838.35,0.29,274583.12,Low
CUST00044,Customer_44,810429.38,0.76,615926.33,Low
CUST00045,Customer_45,402600.3,0.53,213378.16,Medium
CUST00046,Customer_46,634701.61,0.62,393515.0,Low
CUST00047,Customer_47,955714.6,0.32,305828.67,Low
CUST00048,Customer_48,128572.71,0.43,55286.27,Medium
CUST00049,Customer_49,398752.52,0.8,319002.02,High
CUST00050,Customer_50,133683.28,0.84,112293.96,Low
CUST00051,Customer_51,816008.26,0.72,587525.95,Medium
CUST00052,Customer_52,827583.2,0.2,165516.64,High
CUST00053,Customer_53,389036.36,0.87,338461.63,Medium
CUST00054,Customer_54,376960.78,0.3,113088.23,Medium
CUST00055,Customer_55,342516.35,0.5,171258.17,Low
CUST00056,Customer_56,942680.73,0.33,311084.64,High
CUST00057,Customer_57,972628.37,0.84,817007.83,High
CUST00058,Customer_58,808394.7,0.73,590128.13,Medium
CUST00059,Customer_59,305216.1,0.89,271642.33,Medium
CUST00060,Customer_60,371088.17,0.35,129880.86,Medium
CUST00061,Customer_61,490565.01,0.38,186414.7,Low
CUST00062,Customer_62,591299.44,0.47,277910.74,Medium
CUST00063,Customer_63,234633.44,0.29,68043.7,Low
CUST00064,Customer_64,943244.19,0.6,565946.51,High
CUST00065,Customer_65,121588.67,0.4,48635.47,High
CUST00066,Customer_66,866250.75,0.88,762300.66,Low
CUST00067,Customer_67,951241.37,0.31,294884.82,High
CUST00068,Customer_68,490166.36,0.41,200968.21,Medium
CUST00069,Customer_69,998312.62,0.37,369375.67,High
CUST00070,Customer_70,367348.89,0.5,183674.45,Low
CUST00071,Customer_71,815253.06,0.44,358711.35,Medium
CUST00072,Customer_72,841279.7,0.45,378575.86,High
CUST00073,Customer_73,566420.45,0.67,379501.7,Low
CUST00074,Customer_74,959819.75,0.71,681472.02,Medium
CUST00075,Customer_75,860653.97,0.92,791801.65,Low
CUST00076,Customer_76,58380.96,0.49,28606.67,Low
CUST00077,Customer_77,316847.03,0.46,145749.63,High
CUST00078,Customer_78,377338.87,0.75,283004.15,Medium
CUST00079,Customer_79,673948.46,0.46,310016.29,Low
CUST00080,Customer_80,84907.1,0.62,52642.4,High
CUST00081,Customer_81,980204.78,0.93,911590.45,Low
CUST00082,Customer_82,566665.11,0.83,470332.04,Low
CUST00083,Customer_83,77069.79,0.54,41617.69,Medium
CUST00084,Customer_84,971786.53,0.46,447021.8,Low
CUST00085,Customer_85,37722.18,0.57,21501.64,Medium
CUST00086,Customer_86,217409.81,0.87,189146.53,High
CUST00087,Customer_87,477869.1,0.59,281942.77,Low
CUST00088,Customer_88,352752.96,0.36,126991.07,Medium
CUST00089,Customer_89,458281.14,0.63,288717.12,Low
CUST00090,Customer_90,110078.87,0.31,34124.45,Medium
CUST00091,Customer_91,622551.38,0.57,354854.29,High
CUST00092,Customer_92,815626.55,0.52,424125.81,Low
CUST00093,Customer_93,99901.82,0.43,42957.78,Medium
CUST00094,Customer_94,603085.06,0.41,247264.87,High
CUST00095,Customer_95,441008.45,0.68,299885.75,Low
CUST00096,Customer_96,316033.03,0.7,221223.12,Low
CUST00097,Customer_97,951901.49,0.36,342684.54,Medium
CUST00098,Customer_98,861640.96,0.88,758244.04,Low
CUST00099,Customer_99,97220.61,0.98,95276.2,Medium
CUST00100,Customer_100,954070.47,0.54,515198.05,Medium
CUST00101,Customer_101,912518.91,0.76,693514.37,Medium
CUST00102,Customer_102,287768.33,0.48,138128.8,High
CUST00103,Customer_103,336035.35,0.5,168017.67,Low
CUST00104,Customer_104,770669.32,0.24,184960.64,High
CUST00105,Customer_105,396058.44,0.74,293083.25,High
CUST00106,Customer_106,863458.28,0.22,189960.82,Low
CUST00107,Customer_107,793456.15,0.6,476073.69,High
CUST00108,Customer_108,800003.11,0.63,504001.96,High
CUST00109,Customer_109,847351.97,0.21,177943.91,Low
CUST00110,Customer_110,853935.23,0.48,409888.91,Low
CUST00111,Customer_111,307031.98,0.23,70617.36,Low
CUST00112,Customer_112,642292.61,0.35,224802.41,High
CUST00113,Customer_113,651312.66,0.46,299603.82,Low
CUST00114,Customer_114,70558.85,0.56,39512.96,Low
CUST00115,Customer_115,793824.04,0.67,531862.11,Medium
CUST00116,Customer_116,253595.25,0.66,167372.87,Medium
CUST00117,Customer_117,433536.51,0.37,160408.51,High
CUST00118,Customer_118,150882.55,0.25,37720.64,Medium
CUST00119,Customer_119,847057.0,0.79,669175.03,High
CUST00120,Customer_120,205917.7,0.45,92662.97,Low
CUST00121,Customer_121,157422.61,0.76,119641.18,Medium
CUST00122,Customer_122,525867.66,0.23,120949.56,High
CUST00123,Customer_123,958554.87,0.3,287566.46,Medium
CUST00124,Customer_124,448432.91,0.8,358746.33,High
CUST00125,Customer_125,492461.79,0.68,334874.02,Low
CUST00126,Customer_126,418244.07,0.74,309500.61,High
CUST00127,Customer_127,170748.78,0.97,165626.32,Medium
CUST00128,Customer_128,601030.03,0.23,138236.91,High
CUST00129,Customer_129,187781.56,0.74,138958.35,Medium
CUST00130,Customer_130,83677.3,0.22,18409.01,Low
CUST00131,Customer_131,929602.83,0.53,492689.5,High
CUST00132,Customer_132,206113.29,0.72,148401.57,Low
CUST00133,Customer_133,563191.6,0.93,523768.19,Medium
CUST00134,Customer_134,130074.09,0.44,57232.6,Low
CUST00135,Customer_135,659285.17,0.45,296678.33,Medium
CUST00136,Customer_136,803537.73,0.69,554441.03,High
CUST00137,Customer_137,188820.58,0.95,179379.55,Low
CUST00138,Customer_138,596287.17,0.79,471066.86,Medium
CUST00139,Customer_139,696796.91,0.41,285686.73,Low
CUST00140,Customer_140,40682.78,0.23,9357.04,High
CUST00141,Customer_141,880055.96,0.23,202412.87,High
CUST00142,Customer_142,826020.71,0.24,198244.97,Medium
CUST00143,Customer_143,256022.54,0.75,192016.9,Medium
CUST00144,Customer_144,266109.12,0.59,157004.38,High
CUST00145,Customer_145,539157.59,0.97,522982.86,High
CUST00146,Customer_146,54180.07,0.9,48762.06,High
CUST00147,Customer_147,149991.74,0.47,70496.12,High
CUST00148,Customer_148,510484.33,0.81,413492.31,Low
CUST00149,Customer_149,567868.39,0.3,170360.52,Medium
CUST00150,Customer_150,971500.13,0.43,417745.06,High
CUST00151,Customer_151,347084.03,0.92,319317.31,High
CUST00152,Customer_152,157963.1,0.68,107414.91,High
CUST00153,Customer_153,523429.22,0.27,141325.89,Low
CUST00154,Customer_154,430468.33,0.53,228148.21,High
CUST00155,Customer_155,591127.97,0.33,195072.23,Medium
CUST00156,Customer_156,83311.79,0.6,49987.07,High
CUST00157,Customer_157,449152.85,0.62,278474.77,Medium
CUST00158,Customer_158,51684.83,0.83,42898.41,High
CUST00159,Customer_159,514579.6,0.58,298456.17,Low
CUST00160,Customer_160,345889.93,0.62,214451.76,High
CUST00161,Customer_161,712269.12,0.58,413116.09,High
CUST00162,Customer_162,77835.35,0.85,66160.05,High
CUST00163,Customer_163,491662.52,0.96,471996.02,Low
CUST00164,Customer_164,849919.0,0.42,356965.98,High
CUST00165,Customer_165,693025.16,0.61,422745.35,High
CUST00166,Customer_166,548694.79,0.59,323729.93,Medium
CUST00167,Customer_167,535392.91,0.97,519331.12,Low
CUST00168,Customer_168,954158.5,0.35,333955.47,Medium
CUST00169,Customer_169,297219.98,0.71,211026.19,Low
CUST00170,Customer_170,751538.4,0.87,653838.41,High
CUST00171,Customer_171,920648.31,0.88,810170.51,High
CUST00172,Customer_172,370682.16,0.75,278011.62,Medium
CUST00173,Customer_173,765072.23,0.73,558502.73,High
CUST00174,Customer_174,571013.97,0.81,462521.32,Low
CUST00175,Customer_175,693917.47,0.52,360837.08,Medium
CUST00176,Customer_176,915687.13,0.61,558569.15,Low
CUST00177,Customer_177,621802.98,0.83,516096.47,Low
CUST00178,Customer_178,868401.76,0.3,260520.53,Medium
CUST00179,Customer_179,559891.16,0.57,319137.96,High
CUST00180,Customer_180,960046.99,0.25,240011.75,High
CUST00181,Customer_181,733869.19,0.82,601772.74,Low
CUST00182,Customer_182,718314.32,0.5,359157.16,Low
CUST00183,Customer_183,168033.49,0.37,62172.39,Medium
CUST00184,Customer_184,189362.41,0.23,43553.35,High
CUST00185,Customer_185,982792.19,0.46,452084.41,High
CUST00186,Customer_186,820882.14,0.57,467902.82,Low
CUST00187,Customer_187,34332.42,0.45,15449.59,Medium
CUST00188,Customer_188,778476.85,0.28,217973.52,High
CUST00189,Customer_189,76193.0,0.49,37334.57,Low
CUST00190,Customer_190,114557.05,0.21,24056.98,High
CUST00191,Customer_191,330620.21,0.74,244658.96,Medium
CUST00192,Customer_192,654757.56,0.44,288093.33,Low
CUST00193,Customer_193,256692.01,0.58,148881.37,Low
CUST00194,Customer_194,363614.69,0.88,319980.93,Medium
CUST00195,Customer_195,54021.26,0.5,27010.63,High
CUST00196,Customer_196,356589.98,0.23,82015.7,Medium
CUST00197,Customer_197,902478.49,0.48,433189.68,Medium
CUST00198,Customer_198,550864.47,0.81,446200.22,Low
CUST00199,Customer_199,694915.5,0.5,347457.75,Medium
CUST00200,Customer_200,428670.85,0.88,377230.35,Low
CUST00201,Customer_201,567203.3,0.62,351666.05,Low
CUST00202,Customer_202,411906.06,1.0,411906.06,Low
CUST00203,Customer_203,194152.35,0.83,161146.45,Medium
CUST00204,Customer_204,802250.53,0.4,320900.21,Medium
CUST00205,Customer_205,466846.71,0.38,177401.75,High
CUST00206,Customer_206,136228.89,0.26,35419.51,Low
CUST00207,Customer_207,150587.58,0.7,105411.31,High
CUST00208,Customer_208,846329.63,0.8,677063.7,Medium
CUST00209,Customer_209,378953.74,0.3,113686.12,Medium
CUST00210,Customer_210,462889.54,0.61,282362.62,Low
CUST00211,Customer_211,268269.79,0.51,136817.59,High
CUST00212,Customer_212,97408.42,0.64,62341.39,High
CUST00213,Customer_213,557506.66,0.37,206277.46,High
CUST00214,Customer_214,991556.69,0.31,307382.57,High
CUST00215,Customer_215,975183.71,0.63,614365.74,High
CUST00216,Customer_216,123854.17,0.33,40871.88,High
CUST00217,Customer_217,231020.61,0.24,55444.95,Medium
CUST00218,Customer_218,436946.08,0.45,196625.74,High
CUST00219,Customer_219,635158.34,0.52,330282.34,High
CUST00220,Customer_220,199474.26,0.63,125668.78,Low
CUST00221,Customer_221,987708.48,0.89,879060.55,Low
CUST00222,Customer_222,91782.15,0.93,85357.4,High
CUST00223,Customer_223,308223.26,0.84,258907.54,High
CUST00224,Customer_224,945442.99,0.61,576720.22,High
CUST00225,Customer_225,938688.51,0.58,544439.34,Medium
CUST00226,Customer_226,824543.56,0.44,362799.17,Low
CUST00227,Customer_227,615800.56,1.0,615800.56,High
CUST00228,Customer_228,596215.64,0.83,494858.98,Medium
CUST00229,Customer_229,238479.13,0.36,85852.49,Low
CUST00230,Customer_230,890286.17,0.5,445143.09,High
CUST00231,Customer_231,98060.28,0.66,64719.78,Low
CUST00232,Customer_232,504408.26,0.98,494320.09,Medium
CUST00233,Customer_233,670528.27,0.79,529717.33,Low
CUST00234,Customer_234,84103.39,0.43,36164.46,High
CUST00235,Customer_235,244605.2,0.39,95396.03,Medium
CUST00236,Customer_236,531399.52,0.22,116907.89,Low
CUST00237,Customer_237,338699.66,0.43,145640.85,High
CUST00238,Customer_238,674454.53,0.99,667709.98,Low
CUST00239,Customer_239,751989.27,0.27,203037.1,Low
CUST00240,Customer_240,593001.54,0.37,219410.57,Low
CUST00241,Customer_241,854630.1,0.29,247842.73,Medium
CUST00242,Customer_242,826801.58,0.46,380328.73,Medium
CUST00243,Customer_243,924700.14,0.34,314398.05,Low
CUST00244,Customer_244,252459.43,0.93,234787.27,Medium
CUST00245,Customer_245,140625.2,0.29,40781.31,High
CUST00246,Customer_246,631907.44,0.7,442335.21,Low
CUST00247,Customer_247,935203.52,0.26,243152.92,High
CUST00248,Customer_248,285988.01,0.64,183032.33,Low
CUST00249,Customer_249,236183.98,0.73,172414.31,Low
CUST00250,Customer_250,300056.22,0.8,240044.98,Low
CUST00251,Customer_251,849131.51,0.95,806674.93,Medium
CUST00252,Customer_252,96739.13,0.22,21282.61,Medium
CUST00253,Customer_253,827190.88,0.72,595577.43,Medium
CUST00254,Customer_254,895303.18,0.45,402886.43,Medium
CUST00255,Customer_255,609428.82,0.53,322997.27,Low
CUST00256,Customer_256,405785.9,0.45,182603.66,High
CUST00257,Customer_257,42486.71,0.6,25492.03,Medium
CUST00258,Customer_258,56120.06,0.72,40406.44,Medium
CUST00259,Customer_259,308044.04,0.24,73930.57,High
CUST00260,Customer_260,906904.27,0.77,698316.29,Low
CUST00261,Customer_261,766629.14,0.55,421646.03,Medium
CUST00262,Customer_262,774416.37,0.72,557579.79,Low
CUST00263,Customer_263,807211.81,0.83,669985.8,Medium
CUST00264,Customer_264,172595.47,0.26,44874.82,Low
CUST00265,Customer_265,908104.58,0.29,263350.33,Low
CUST00266,Customer_266,819879.54,0.29,237765.07,Low
CUST00267,Customer_267,119814.91,0.65,77879.69,High
CUST00268,Customer_268,392346.4,0.45,176555.88,Medium
CUST00269,Customer_269,924705.23,0.6,554823.14,Low
CUST00270,Customer_270,792408.96,1.0,792408.96,Low
CUST00271,Customer_271,932002.58,0.94,876082.43,Medium
