Employee_ID,Employee_Name,Department,Job_Role,Exit_Date,Notice_Period_Days,Exit_Reason,Exit_Interview_Date,Exit_Interview_Outcome,Asset_Return_Status,Knowledge_Transfer_Status,Final_Settlement_Status,Feedback_Notes,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0001,Employee_1,Operations,Assistant,2025-02-22,30,End of Contract,2025-02-17,Negative,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0002,Employee_2,Sales,Assistant,2025-02-24,60,Termination,2025-02-20,Neutral,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0003,Employee_3,HR,Analyst,2024-11-03,45,Resignation,2024-11-03,Positive,Completed,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0004,Employee_4,IT,Analyst,2025-07-29,60,Termination,2025-07-28,Negative,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0005,Employee_5,Operations,Executive,2024-10-29,90,Termination,2024-10-25,Positive,Not Applicable,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0006,Employee_6,IT,Manager,2025-07-24,45,Mutual Separation,2025-07-22,Positive,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0007,Employee_7,HR,Consultant,2024-11-15,60,Retirement,2024-11-08,Positive,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0008,Employee_8,IT,Engineer,2024-12-25,60,Termination,2024-12-24,Negative,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0009,Employee_9,HR,Analyst,2024-12-16,45,Retirement,2024-12-11,Negative,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0010,Employee_10,Sales,Executive,2025-06-07,90,End of Contract,2025-06-07,Neutral,Pending,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0011,Employee_11,Marketing,Analyst,2025-10-03,90,Termination,2025-10-03,Positive,Not Applicable,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0012,Employee_12,IT,Assistant,2025-02-17,60,Resignation,2025-02-15,Neutral,Pending,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0013,Employee_13,Sales,Consultant,2025-06-05,60,Mutual Separation,2025-06-04,Neutral,Completed,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0014,Employee_14,Finance,Executive,2025-10-11,90,Termination,2025-10-04,Neutral,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0015,Employee_15,IT,Consultant,2025-03-05,60,Resignation,2025-03-01,Neutral,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0016,Employee_16,HR,Assistant,2024-10-22,60,Retirement,2024-10-19,Neutral,Completed,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0017,Employee_17,Marketing,Analyst,2025-03-24,90,Termination,2025-03-21,Neutral,Completed,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0018,Employee_18,Marketing,Engineer,2025-01-19,45,End of Contract,2025-01-17,Negative,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0019,Employee_19,Marketing,Assistant,2025-02-06,90,Termination,2025-02-02,Neutral,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0020,Employee_20,Sales,Assistant,2025-10-14,60,Mutual Separation,2025-10-10,Negative,Not Applicable,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0021,Employee_21,HR,Executive,2024-12-13,30,End of Contract,2024-12-08,Negative,Completed,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
