Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Region,Fraud Risk Score,Status,Investigator Name,Transaction Date
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5fe177cc-4c31-43a3-a983-f2bd96303178,7681,41198.39,Wire Transfer,APAC,31.55,Flagged,Taylor Campbell,2025-05-31
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,0b0d97b0-1ff9-4713-a9ea-a3201697d169,8208,23239.5,Wire Transfer,APAC,40.69,Flagged,Mary Murray,2025-01-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,8954a213-84b6-48b7-9f57-29389db97af6,1263,9823.85,ATM,Americas,98.46,Flagged,Nicole Gay,2025-02-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,384f7bd9-aa4b-4255-bf90-ec68cfae9aea,5473,7395.07,Online,EMEA,97.86,Cleared,Patricia Vega,2025-05-23
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,306b04d1-b3a2-475d-ae25-34b523c00044,9636,12460.33,Wire Transfer,APAC,74.19,Cleared,David White,2025-10-05
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,7bf2b445-1fb8-4e9d-8174-fcbded6d6c73,5951,22127.23,Wire Transfer,EMEA,68.69,Confirmed Fraud,Elizabeth Martinez,2025-05-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,4fad5e6a-24d6-46e3-88c7-2448a7c43400,1365,12955.99,Online,EMEA,45.72,Confirmed Fraud,Destiny Rivera,2025-09-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ed617d90-a737-4b42-82c9-c0e10bc16d9e,2805,24345.52,POS,Americas,8.02,Flagged,Sean Martinez,2025-08-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,4cf4487e-e9d5-4ebc-91ee-d3b01c8be10b,5255,35404.0,ATM,APAC,39.29,Reviewed,Ashley Torres,2025-05-09
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,4809a443-40c0-4ada-a259-4d25bdf28404,9315,25073.05,Online,APAC,42.02,Confirmed Fraud,Zachary Taylor,2025-09-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,72d09dbb-7c57-453b-b1c5-1c5b556e1c98,7988,44552.75,POS,Americas,62.88,Cleared,Katherine Cain,2025-04-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ce404946-fdbc-45d1-a72f-ba74e91e30b8,5338,29427.22,Wire Transfer,Americas,36.32,Flagged,Chad Hall,2025-01-21
