Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,FX Exposure (USD),Risk Score
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6052,669334.96,69.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7272,979233.2,49.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1406,396315.74,9.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7804,177429.4,22.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1042,781145.81,27.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2104,808069.28,41.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7944,449556.73,55.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5904,571510.35,99.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3817,826891.87,90.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8792,121593.54,4.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9216,548424.31,84.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9813,698886.19,49.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8045,456625.78,10.21
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5845,551712.66,58.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6551,223743.73,25.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8483,269614.79,58.98
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2687,843186.05,98.19
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3932,749252.71,27.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6056,708750.19,81.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7716,337162.46,89.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2508,983157.41,56.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4316,496979.1,74.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1794,5467.47,49.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5046,393097.59,68.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9487,535801.2,6.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4457,595520.19,5.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1149,157845.75,64.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9710,493986.98,62.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9136,472819.11,20.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5674,30926.04,44.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8085,763544.83,34.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4377,218831.98,5.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9298,79441.0,57.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5488,670906.48,52.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2487,511978.37,81.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9878,819906.2,51.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4465,245710.84,98.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1051,332175.72,31.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1922,19267.53,99.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3484,528503.36,46.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6377,403383.8,1.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7357,599681.61,41.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2507,121202.48,1.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5603,446939.0,61.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8446,961098.39,46.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3715,307578.7,42.69
