Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Interest Rate (%),Compliance Score
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1388,6.17,75.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5754,14.91,69.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4854,14.64,77.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5880,11.57,56.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8273,12.0,87.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4246,9.36,84.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2110,7.59,83.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8290,11.32,76.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4411,14.71,62.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7618,2.04,72.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8694,12.16,72.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1156,1.08,87.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7995,14.6,88.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7849,4.57,83.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9556,1.83,98.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7274,2.26,88.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8855,12.19,85.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3908,13.43,91.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7552,8.17,82.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9741,7.59,75.15
