Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Risk Score,Exposure Amount
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8307,52.31,813348.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2941,96.33,969086.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8364,73.34,267232.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9477,89.68,910570.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9090,50.42,969106.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1086,58.69,701875.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7396,54.17,627672.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8113,59.91,556147.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7972,83.03,197614.11
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6014,77.97,831365.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2242,53.2,956046.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2716,54.23,272688.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4473,32.27,721446.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7687,0.8,218739.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1173,38.56,974597.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2436,81.98,718242.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6474,58.17,23538.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8970,70.26,251091.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9371,57.63,931160.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9053,7.15,515681.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9816,83.02,796931.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2529,58.31,343245.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9978,91.96,367081.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7766,71.54,97942.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4752,43.1,466295.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5696,85.02,806182.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4430,61.52,659105.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8607,72.53,495002.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6996,34.83,403146.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2410,54.14,461481.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7810,80.29,519435.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1643,98.16,721909.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4637,85.38,823830.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5689,32.37,497105.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1410,74.45,552763.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5927,9.6,799280.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7573,69.47,746665.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1092,19.45,311888.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7083,51.48,582059.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5515,6.13,198663.8
