Customer_ID,Customer_Name,Operational_Risk_Score,Identified_Risk,Mitigation_Control,Risk_Value,Risk_Category
CUST00001,Customer_1,96.35,Human Error,Policy Update,335699.88,High
CUST00002,Customer_2,66.12,System Outage,Policy Update,438553.17,Low
CUST00003,Customer_3,7.49,Human Error,System Upgrade,434117.95,Medium
CUST00004,Customer_4,78.69,Compliance Breach,System Upgrade,282032.08,Medium
CUST00005,Customer_5,35.34,Compliance Breach,Internal Audit,355901.13,High
CUST00006,Customer_6,13.39,Human Error,Internal Audit,111994.79,Low
CUST00007,Customer_7,75.93,Human Error,Internal Audit,319437.81,High
CUST00008,Customer_8,50.57,Fraud,Internal Audit,1474.34,High
CUST00009,Customer_9,9.98,Compliance Breach,Internal Audit,388843.04,High
CUST00010,Customer_10,4.81,Fraud,Staff Training,340407.01,Medium
CUST00011,Customer_11,97.03,System Outage,System Upgrade,495242.4,High
CUST00012,Customer_12,76.88,Fraud,Staff Training,411212.66,Medium
CUST00013,Customer_13,92.74,Process Failure,Staff Training,169182.96,Medium
CUST00014,Customer_14,43.12,Compliance Breach,Internal Audit,365824.1,Low
CUST00015,Customer_15,14.98,Human Error,System Upgrade,277238.75,High
CUST00016,Customer_16,76.94,Fraud,Internal Audit,138492.03,Low
CUST00017,Customer_17,2.37,Compliance Breach,Staff Training,132851.24,Low
CUST00018,Customer_18,23.1,Process Failure,System Upgrade,395930.34,Low
CUST00019,Customer_19,24.56,Fraud,Policy Update,18289.34,Medium
CUST00020,Customer_20,79.2,System Outage,Internal Audit,359954.83,High
CUST00021,Customer_21,10.89,Process Failure,Insurance Coverage,251072.27,Medium
CUST00022,Customer_22,44.48,System Outage,Internal Audit,129421.85,High
CUST00023,Customer_23,92.72,Human Error,Staff Training,308024.81,Low
CUST00024,Customer_24,96.32,Compliance Breach,System Upgrade,495034.64,Medium
CUST00025,Customer_25,57.7,Compliance Breach,Insurance Coverage,324164.05,High
CUST00026,Customer_26,99.55,System Outage,System Upgrade,270963.7,High
CUST00027,Customer_27,12.89,System Outage,System Upgrade,189571.18,Low
CUST00028,Customer_28,85.94,Fraud,Staff Training,95614.57,Medium
CUST00029,Customer_29,18.63,Human Error,Staff Training,157244.08,Medium
CUST00030,Customer_30,61.31,Human Error,Internal Audit,495393.54,Low
CUST00031,Customer_31,86.3,Compliance Breach,Internal Audit,296993.5,High
CUST00032,Customer_32,14.11,Fraud,System Upgrade,227531.4,Medium
CUST00033,Customer_33,68.9,Compliance Breach,Internal Audit,46699.33,Low
CUST00034,Customer_34,13.28,Process Failure,Staff Training,132874.47,High
CUST00035,Customer_35,60.75,Process Failure,Staff Training,439831.48,High
CUST00036,Customer_36,64.34,System Outage,Policy Update,353302.73,Medium
CUST00037,Customer_37,77.71,Fraud,Staff Training,297261.62,Medium
CUST00038,Customer_38,7.18,System Outage,Internal Audit,73533.36,High
CUST00039,Customer_39,73.27,Fraud,Policy Update,38768.14,High
CUST00040,Customer_40,62.72,Human Error,Insurance Coverage,448362.06,Medium
CUST00041,Customer_41,81.87,Fraud,System Upgrade,358747.45,Low
CUST00042,Customer_42,64.09,Human Error,Staff Training,335776.75,Medium
CUST00043,Customer_43,9.9,System Outage,Policy Update,180422.25,High
CUST00044,Customer_44,34.94,Fraud,Insurance Coverage,7251.67,Low
CUST00045,Customer_45,29.71,Human Error,System Upgrade,171326.68,Low
CUST00046,Customer_46,33.41,Compliance Breach,Staff Training,394084.65,Low
CUST00047,Customer_47,46.62,Fraud,Staff Training,314512.37,High
CUST00048,Customer_48,75.02,Process Failure,Policy Update,104148.27,High
CUST00049,Customer_49,54.54,Human Error,Staff Training,73944.54,Medium
CUST00050,Customer_50,71.78,Compliance Breach,Insurance Coverage,278705.08,Medium
CUST00051,Customer_51,1.71,System Outage,Internal Audit,327639.58,High
CUST00052,Customer_52,10.51,System Outage,Staff Training,231612.57,Medium
CUST00053,Customer_53,27.13,Human Error,System Upgrade,153659.31,High
CUST00054,Customer_54,18.08,Human Error,Policy Update,111124.69,Low
CUST00055,Customer_55,78.29,System Outage,System Upgrade,446200.11,High
CUST00056,Customer_56,38.22,Human Error,Policy Update,320778.36,Low
CUST00057,Customer_57,44.91,Human Error,Policy Update,42584.08,Medium
CUST00058,Customer_58,85.86,Compliance Breach,Insurance Coverage,422596.85,Medium
CUST00059,Customer_59,17.29,Fraud,System Upgrade,334462.67,High
CUST00060,Customer_60,40.25,Human Error,Insurance Coverage,11577.5,Low
CUST00061,Customer_61,36.05,Fraud,Staff Training,267671.26,High
CUST00062,Customer_62,55.4,System Outage,System Upgrade,427274.55,High
CUST00063,Customer_63,27.17,System Outage,Policy Update,132161.78,High
CUST00064,Customer_64,91.65,System Outage,Internal Audit,76354.54,High
CUST00065,Customer_65,58.57,Fraud,Policy Update,91938.4,Medium
CUST00066,Customer_66,88.5,Compliance Breach,Policy Update,227425.19,Medium
CUST00067,Customer_67,99.16,Compliance Breach,Staff Training,401675.28,High
