Customer_ID,Customer_Name,Operation_Risk_Score,Risk_Category,Identified_Operational_Risk,Risk_Value
CUST00001,Customer_1,68.18,Medium,Fraud,166947.72
CUST00002,Customer_2,31.63,Medium,Fraud,295462.71
CUST00003,Customer_3,31.95,Medium,System Outage,113546.3
CUST00004,Customer_4,15.57,Medium,Human Error,149086.07
CUST00005,Customer_5,56.26,Low,Compliance Breach,473892.49
CUST00006,Customer_6,71.55,High,Compliance Breach,19009.38
CUST00007,Customer_7,29.18,Low,Process Failure,479557.88
CUST00008,Customer_8,58.99,Low,Fraud,351773.98
CUST00009,Customer_9,14.76,Low,Fraud,401378.54
CUST00010,Customer_10,72.32,Medium,Process Failure,436593.57
CUST00011,Customer_11,19.71,Low,Human Error,390711.05
CUST00012,Customer_12,70.61,Low,Human Error,302494.3
CUST00013,Customer_13,43.43,High,Fraud,152599.45
CUST00014,Customer_14,22.5,High,System Outage,58570.23
CUST00015,Customer_15,72.68,High,Compliance Breach,470389.86
CUST00016,Customer_16,19.09,High,Human Error,246174.52
CUST00017,Customer_17,11.85,Low,Human Error,65980.51
CUST00018,Customer_18,61.67,Medium,Compliance Breach,334255.26
CUST00019,Customer_19,1.31,Medium,Process Failure,124654.81
CUST00020,Customer_20,14.75,Medium,Human Error,254576.75
CUST00021,Customer_21,74.2,Low,Process Failure,88322.95
CUST00022,Customer_22,2.47,Low,Human Error,48905.46
CUST00023,Customer_23,98.76,Low,System Outage,144328.99
CUST00024,Customer_24,17.36,High,Process Failure,432321.53
CUST00025,Customer_25,21.75,Low,Fraud,130644.23
CUST00026,Customer_26,80.86,High,Fraud,480441.17
CUST00027,Customer_27,15.8,Medium,Compliance Breach,457343.38
CUST00028,Customer_28,83.28,Low,System Outage,75883.38
CUST00029,Customer_29,89.84,Medium,Compliance Breach,47606.59
CUST00030,Customer_30,83.81,Medium,Fraud,264347.78
CUST00031,Customer_31,10.4,High,System Outage,395674.89
CUST00032,Customer_32,2.26,Medium,Fraud,293693.33
CUST00033,Customer_33,15.65,Medium,Compliance Breach,497766.49
CUST00034,Customer_34,78.59,Low,Human Error,436404.23
CUST00035,Customer_35,14.11,Medium,Human Error,102479.46
CUST00036,Customer_36,42.14,Low,System Outage,260238.38
CUST00037,Customer_37,91.26,Low,Human Error,52222.97
CUST00038,Customer_38,24.37,Low,Fraud,134566.8
CUST00039,Customer_39,50.7,Low,Process Failure,41595.74
CUST00040,Customer_40,75.15,Medium,Fraud,26769.38
CUST00041,Customer_41,80.0,Medium,Compliance Breach,476746.7
CUST00042,Customer_42,85.4,High,Compliance Breach,370880.77
CUST00043,Customer_43,78.28,Low,Human Error,174558.32
CUST00044,Customer_44,26.73,Low,Compliance Breach,151381.49
CUST00045,Customer_45,28.45,High,Compliance Breach,360134.36
CUST00046,Customer_46,49.54,Medium,System Outage,157591.55
CUST00047,Customer_47,84.53,Low,Fraud,59214.17
CUST00048,Customer_48,55.13,Medium,Fraud,37305.91
CUST00049,Customer_49,8.54,Medium,System Outage,125957.89
CUST00050,Customer_50,79.21,Low,Compliance Breach,437277.41
CUST00051,Customer_51,41.17,Medium,Process Failure,384175.15
CUST00052,Customer_52,45.13,High,Human Error,277937.55
CUST00053,Customer_53,3.32,Medium,Fraud,243993.51
CUST00054,Customer_54,23.24,Low,Process Failure,391545.49
CUST00055,Customer_55,6.68,Medium,Process Failure,54649.94
CUST00056,Customer_56,99.74,Low,Human Error,488047.09
CUST00057,Customer_57,29.53,Low,Compliance Breach,237623.16
CUST00058,Customer_58,92.47,High,Human Error,437180.25
CUST00059,Customer_59,6.83,Low,Fraud,359004.21
CUST00060,Customer_60,26.72,High,Compliance Breach,464643.08
CUST00061,Customer_61,65.86,Medium,System Outage,66881.14
CUST00062,Customer_62,8.55,Low,Process Failure,357090.66
CUST00063,Customer_63,8.45,Medium,Human Error,194131.21
CUST00064,Customer_64,85.76,High,System Outage,206730.78
CUST00065,Customer_65,41.21,Low,Process Failure,368910.03
CUST00066,Customer_66,67.79,Medium,Compliance Breach,69920.96
CUST00067,Customer_67,13.31,Medium,Human Error,29315.19
CUST00068,Customer_68,32.33,Medium,Human Error,66541.64
CUST00069,Customer_69,91.45,High,System Outage,42411.19
CUST00070,Customer_70,60.49,Medium,System Outage,109872.14
CUST00071,Customer_71,53.63,High,Process Failure,60440.72
CUST00072,Customer_72,42.61,High,Human Error,447468.8
CUST00073,Customer_73,95.82,Low,Compliance Breach,165831.83
CUST00074,Customer_74,21.09,Medium,Human Error,430791.04
CUST00075,Customer_75,64.87,Low,Fraud,476234.67
CUST00076,Customer_76,87.81,Low,Process Failure,68046.06
CUST00077,Customer_77,44.19,Medium,Fraud,230828.64
CUST00078,Customer_78,97.11,Low,Compliance Breach,348959.96
CUST00079,Customer_79,10.83,Low,System Outage,140210.0
CUST00080,Customer_80,41.19,Low,Compliance Breach,67177.11
CUST00081,Customer_81,67.92,High,Human Error,102769.36
CUST00082,Customer_82,78.48,Medium,Process Failure,41247.84
CUST00083,Customer_83,75.4,Low,Compliance Breach,262600.28
CUST00084,Customer_84,50.6,Low,Process Failure,475802.19
CUST00085,Customer_85,67.38,Low,Fraud,44150.48
CUST00086,Customer_86,43.08,Medium,Compliance Breach,199255.88
CUST00087,Customer_87,34.73,High,Fraud,294672.68
CUST00088,Customer_88,6.36,High,Compliance Breach,195674.68
CUST00089,Customer_89,95.73,Medium,Process Failure,380294.39
CUST00090,Customer_90,34.33,Medium,Compliance Breach,112501.52
CUST00091,Customer_91,72.84,High,Fraud,139099.88
CUST00092,Customer_92,4.43,Low,Process Failure,228662.53
CUST00093,Customer_93,77.78,Low,Human Error,50748.91
CUST00094,Customer_94,90.66,High,System Outage,264937.4
CUST00095,Customer_95,47.45,High,Compliance Breach,182584.1
CUST00096,Customer_96,94.61,Medium,Compliance Breach,213616.99
CUST00097,Customer_97,23.92,Low,Process Failure,118104.9
CUST00098,Customer_98,19.29,High,Human Error,409132.59
CUST00099,Customer_99,34.39,High,System Outage,129420.64
CUST00100,Customer_100,45.33,Medium,Process Failure,479325.17
CUST00101,Customer_101,37.99,High,Fraud,359198.98
CUST00102,Customer_102,15.58,High,Human Error,112651.57
