Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Borrower_ID,Borrower_Name,Credit_Score,Loan_Amount,Loan_Type,Risk_Rating
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00001,Borrower_1,629,1785351.25,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00002,Borrower_2,737,4831071.85,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00003,Borrower_3,532,998122.6,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00004,Borrower_4,830,3584750.54,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00005,Borrower_5,404,2796264.36,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00006,Borrower_6,391,1217037.08,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00007,Borrower_7,777,2322467.51,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00008,Borrower_8,673,4287564.42,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00009,Borrower_9,776,2944203.2,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00010,Borrower_10,306,4308396.56,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00011,Borrower_11,353,2625570.29,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00012,Borrower_12,723,4542589.09,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00013,Borrower_13,805,1344991.44,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00014,Borrower_14,769,3372755.99,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00015,Borrower_15,835,4243409.62,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00016,Borrower_16,740,799814.99,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00017,Borrower_17,837,3867273.72,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00018,Borrower_18,564,4640668.98,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00019,Borrower_19,604,4137195.61,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00020,Borrower_20,623,4420242.22,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00021,Borrower_21,665,2575217.46,Home Loan,Very High
