Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Loan_ID,Borrower_Name,Loan_Type,Outstanding_Amount,Risk_Level,Default_Probability,Status
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00001,Borrower_1,Auto Loan,2961428.03,Medium,0.37,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00002,Borrower_2,Personal Loan,835385.8,Medium,0.12,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00003,Borrower_3,Auto Loan,1543502.38,High,0.43,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00004,Borrower_4,Business Loan,2430174.76,Low,0.33,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00005,Borrower_5,Home Loan,337064.77,Low,0.07,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00006,Borrower_6,Education Loan,2988644.85,High,0.32,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00007,Borrower_7,Education Loan,2865989.89,Medium,0.09,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00008,Borrower_8,Business Loan,3467067.39,Low,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00009,Borrower_9,Personal Loan,89640.92,Very High,0.4,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00010,Borrower_10,Auto Loan,4615691.19,High,0.35,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00011,Borrower_11,Business Loan,2970727.05,Medium,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00012,Borrower_12,Business Loan,3460604.47,Very High,0.25,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00013,Borrower_13,Personal Loan,4443672.55,Medium,0.35,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00014,Borrower_14,Auto Loan,3520566.05,Low,0.3,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00015,Borrower_15,Home Loan,631805.13,Medium,0.19,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00016,Borrower_16,Business Loan,1965535.83,Low,0.09,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00017,Borrower_17,Business Loan,3034989.09,Medium,0.3,Delinquent
