recommendation_id,trader_id,recommendation_date,instrument_type,instrument_symbol,recommendation_action,target_price_usd,current_price_usd,expected_return_percent,confidence_score,time_horizon_days,rationale_summary,market_sentiment,sector,region,value_domain,data_segment,data_domain
REC100000,TRDR9632,2025-06-12,Bond,BON813,Watch,1444.6,1263.2,14.36,90,160,Popular use sit sea part father manager player bad how own.,Bullish,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100001,TRDR5412,2024-11-17,Commodity,COM523,Sell,509.16,410.65,23.99,58,271,New between per allow price source.,Neutral,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100002,TRDR8138,2025-10-10,Options,OPT506,Hold,697.17,683.03,2.07,100,279,Movie Democrat day hundred plant these talk not religious along.,Bearish,Telecom,South America,Enterprise,Trade Transaction,Trade Data
REC100003,TRDR5198,2025-09-20,Futures,FUT420,Sell,702.27,649.53,8.12,90,246,Manager strategy without act indeed agreement side center try whose hot PM debate against future air far increase every seven.,Bullish,Consumer Goods,South America,Enterprise,Trade Transaction,Trade Data
REC100004,TRDR6421,2025-04-18,FX,FX114,Hold,660.65,602.67,9.62,57,68,Black own right research consider business major officer group.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100005,TRDR9988,2025-07-28,Bond,BON766,Sell,1390.37,1138.34,22.14,99,235,Pattern adult research area staff close fight despite administration member material.,Bearish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100006,TRDR3336,2024-11-14,FX,FX672,Hold,659.49,511.75,28.87,76,275,Forget from down finally keep say until thought sea Mrs manager yes matter such wonder weight.,Bearish,Finance,North America,Enterprise,Trade Transaction,Trade Data
REC100007,TRDR2318,2025-03-18,Bond,BON734,Sell,820.98,609.4,34.72,86,246,Town per crime likely few case scientist determine talk perhaps yeah condition.,Neutral,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100008,TRDR3802,2025-01-30,FX,FX270,Hold,1923.3,1531.17,25.61,53,75,Everyone close soldier society provide at which discuss.,Neutral,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100009,TRDR3678,2025-10-11,Bond,BON941,Sell,1839.13,1781.07,3.26,97,42,Recent country such war large fund arm college grow goal.,Neutral,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100010,TRDR8414,2025-03-03,Options,OPT378,Watch,463.12,375.0,23.5,86,322,See blood firm child similar.,Bearish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100011,TRDR7435,2025-04-01,Bond,BON803,Hold,2151.89,1997.11,7.75,93,43,Report Mr society own during pretty those against.,Bearish,Industrials,North America,Enterprise,Trade Transaction,Trade Data
REC100012,TRDR9193,2025-09-12,ETF,ETF817,Watch,1064.36,847.89,25.53,92,71,Parent range contain eight perhaps allow mouth series factor available professor hope major six right.,Bullish,Finance,Europe,Enterprise,Trade Transaction,Trade Data
REC100013,TRDR1176,2025-09-13,Stock,STO157,Sell,1307.13,1501.58,-12.95,77,182,Agree care feel market strong what various color agree administration second argue newspaper particular wait recent big wish.,Bullish,Energy,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100014,TRDR3525,2024-12-16,Stock,STO867,Hold,193.56,211.93,-8.67,72,293,Left all however reflect century decade specific wife cause shake.,Neutral,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100015,TRDR6862,2025-03-25,ETF,ETF644,Buy,1517.78,1473.0,3.04,72,104,Get avoid often leave finally growth out same card responsibility.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100016,TRDR1516,2025-08-03,Commodity,COM335,Buy,824.49,763.63,7.97,65,173,I wide good late child herself benefit left.,Bullish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100017,TRDR8748,2025-09-12,Options,OPT948,Watch,879.2,828.34,6.14,95,282,Pretty media another building hit relationship any add sign before public the maintain.,Bullish,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100018,TRDR6853,2025-05-11,Derivative,DER823,Sell,567.1,504.49,12.41,51,355,Area maybe middle old way perform mean behavior include why.,Neutral,Energy,South America,Enterprise,Trade Transaction,Trade Data
